Att8Act,Att8Diff,EngEst,EngAct,EngDiff,MathsEst,MathsAct,MathsDiff,EbaccEst,EbaccDiff,Att8EstSQRT,EbaccActSQRT
4.2,0.28,4.3,5.5,1.19,3.8,4,0.19,3.1,-1.11,1.9748417658131499,1.4142135623730951
2.4,-1.31,4.2,3,-1.16,3.7,3,-0.68,2.9,-2.91,1.9235384061671346,0
1.9,-1.41,3.8,2,-1.82,3.3,3,-0.3,2.4,-1.72,1.816590212458495,0.8366600265340756
0.8,-1.49,2.8,1.5,-1.32,2,0,-2.02,1.2,-1.16,1.4832396974191326,0
2.4,-2,4.8,1.5,-3.3,4.3,3,-1.3,3.8,-2.83,2.0976176963403033,1
0.5,-1.03,2,1,-0.99,1.1,0,-1.05,0.7,-0.68,1.224744871391589,0
3.2,0.01,3.6,3,-0.64,3.1,3,-0.13,2.2,-1.18,1.760681686165901,1
3.7,-0.17,4.3,4,-0.31,3.8,4,0.19,3.1,-1.11,1.9748417658131499,1.4142135623730951
5,0.35,5,5.5,0.49,4.6,5.5,0.93,4.2,-0.82,2.16794833886788,1.816590212458495
2.2,-0.46,3.2,3,-0.23,2.6,2,-0.58,1.6,-1.59,1.6431676725154984,0
2.2,-1.36,4,2,-1.99,3.5,2,-1.49,2.6,-1.97,1.8708286933869707,0.8366600265340756
2.6,-0.11,3.2,3,-0.23,2.6,3,0.42,1.6,-1.59,1.6431676725154984,0
4,-0.4,4.8,5.5,0.7,4.3,3,-1.3,3.8,-1.16,2.0976176963403033,1.6431676725154984
3.1,-1.35,4.8,3,-1.8,4.3,4,-0.3,3.8,-2.83,2.0976176963403033,1
6.9,0.71,6.2,7,0.77,6.3,8.5,2.22,6,0.02,2.4698178070456938,2.449489742783178
3.8,-0.85,5,3,-2.01,4.6,3,-1.57,4.2,-0.49,2.16794833886788,1.9235384061671346
4.6,1.95,3.1,5.5,2.43,2.2,4,1.77,1.9,1.45,1.61245154965971,1.816590212458495
3.7,0.03,4,3,-1.03,3.5,3,-0.47,3.1,0.59,1.9235384061671346,1.9235384061671346
5.2,2.85,2.8,7,4.19,2,4,2.05,1.6,1.36,1.51657508881031,1.7320508075688772
2.3,-1.07,3.7,2,-1.7,3.1,3,-0.1,2.7,-1.49,1.816590212458495,1.0954451150103321
3.1,-0.95,4.4,3,-1.37,3.9,4,0.12,3.5,-1.19,2,1.51657508881031
5.5,0.43,5.3,7,1.73,4.9,4,-0.89,4.7,-1.34,2.23606797749979,1.816590212458495
3.7,-0.82,4.8,5.5,0.69,4.3,3,-1.35,4.1,-0.74,2.1213203435596424,1.816590212458495
4.4,-0.62,5.3,5.5,0.23,4.9,4,-0.89,4.7,-1.34,2.23606797749979,1.816590212458495
3.9,-0.67,4.8,5.5,0.69,4.3,3,-1.35,4.1,-1.91,2.1213203435596424,1.4832396974191326
2.9,0.71,2.6,3,0.41,1.7,4,2.33,1.4,0.73,1.449137674618944,1.4832396974191326
7.2,0.3,6.8,8.5,1.65,7,7,-0.02,6.8,0.21,2.6076809620810595,2.6457513110645907
2.9,-1.17,4.4,7,2.63,3.9,2,-1.88,3.5,-2.52,2,1
5.8,-0.06,6,7,1.02,5.9,5.5,-0.4,5.7,-0.16,2.4289915602982237,2.345207879911715
4.5,-0.07,4.8,5.5,0.69,4.3,4,-0.35,4.1,-0.07,2.1213203435596424,2
3.8,-2.42,6.2,4,-2.22,6.3,3,-3.29,6,-2.34,2.4899799195977463,1.9235384061671346
2.7,0.65,2.5,4,1.49,1.6,2,0.44,1.4,-0.86,1.4142135623730951,0.7071067811865476
4.6,-0.22,5,5.5,0.45,4.6,4,-0.6,4.4,-1.04,2.1908902300206643,1.816590212458495
3.2,0.69,2.9,3,0.09,2.1,3,0.91,1.8,0.08,1.5811388300841898,1.3416407864998738
3.9,-1.96,6,5.5,-0.48,5.9,4,-1.9,5.7,-2.66,2.4289915602982237,1.7320508075688772
3.2,-3.31,6.5,4,-2.53,6.7,3,-3.67,6.4,-4.4,2.5495097567963922,1.4142135623730951
7.3,1.73,5.7,7,1.26,5.5,8.5,2.96,5.3,1.68,2.3664319132398464,2.6457513110645907
4.5,-1.12,5.7,5.5,-0.24,5.5,4,-1.54,5.3,-2.32,2.3664319132398464,1.7320508075688772
2.5,-2.02,4.8,4,-0.81,4.3,4,-0.35,4.1,-2.24,2.1213203435596424,1.3416407864998738
3.7,-1.92,5.7,5.5,-0.24,5.5,4,-1.54,5.3,-3.82,2.3664319132398464,1.224744871391589
3.2,-1.37,4.8,4,-0.81,4.3,3,-1.35,4.1,-3.41,2.1213203435596424,0.8366600265340756
3.8,-0.06,4.2,4,-0.19,3.7,4,0.32,3.3,-0.98,1.9748417658131499,1.51657508881031
4.8,-1.06,6,5.5,-0.48,5.9,4,-1.9,5.7,-1.49,2.4289915602982237,2.04939015319192
4.5,-0.32,5,4,-1.05,4.6,4,-0.6,4.4,0.79,2.1908902300206643,2.280350850198276
3,-0.49,3.9,3,-0.86,3.3,3,-0.28,2.9,-1.2,1.8708286933869707,1.3038404810405297
3.7,0.53,3.6,4,0.43,2.9,4,1.08,2.5,-1,1.7888543819998317,1.224744871391589
0,-4.77,5,0,-5.05,4.6,0,-4.6,4.4,-4.37,2.1908902300206643,0
1,-2.32,3.7,2,-1.7,3.1,0,-3.1,2.7,-1.66,1.816590212458495,1
3.1,-0.27,3.7,4,0.3,3.1,3,-0.1,2.7,-0.83,1.816590212458495,1.3416407864998738
0.8,-1.66,2.9,2,-0.91,2.1,0,-2.09,1.8,-1.42,1.5811388300841898,0.5477225575051661
2.7,-0.52,3.6,3,-0.57,2.9,3,0.08,2.5,-1.34,1.7888543819998317,1.0954451150103321
2.7,-0.62,3.7,3,-0.7,3.1,4,0.9,2.7,-1.33,1.816590212458495,1.140175425099138
3.8,-0.25,4.4,5.5,1.13,3.9,3,-0.88,3.5,-1.52,2,1.4142135623730951
5.2,1.66,3.9,7,3.14,3.3,5.5,2.22,2.9,0.47,1.8708286933869707,1.816590212458495
4.3,-0.04,4.6,5.5,0.91,4.1,4,-0.11,3.8,-0.14,2.073644135332772,1.9235384061671346
4.2,0.34,4.2,3,-1.19,3.7,7,3.32,3.3,0.69,1.9748417658131499,2
3.5,-2.41,6,3,-2.98,5.9,4,-1.9,5.7,-3.16,2.4289915602982237,1.5811388300841898
3.4,-2.77,6.2,4,-2.22,6.3,5.5,-0.79,6,-3.34,2.4899799195977463,1.6431676725154984
